Customer Name,Customer_Address,Company Name,Claim Reason,Data confidentiality,Claim Amount,Category Premium,Premium Ratio,Claim Request output,BMI,Churn
Christine Payne,"7627 Anderson Rest Apt. 265,Lake Heather, DC 34200","Williams, Henderson and Perez",Travel,Low,377,4794,0.078639967,No,21,Yes
Tony Fernandez,"3953 Cindy Brook Apt. 147,East Lindatown, TN 45491",Moore-Goodwin,Medical,High,1440,14390,0.100069493,No,24,Yes
Christopher Kim,"8693 Walters Mountains,South Tony, TX 88407",Smith-Holmes,Phone,Medium,256,1875,0.136533333,No,,Yes
Nicole Allen,"56926 Webster Coves,Shawnmouth, NV 04853",Harrell-Perez,Phone,Medium,233,1875,0.124266667,No,24,Yes
Linda Cruz,"489 Thomas Forges Apt. 305,Jesseton, GA 36765","Simpson, Kramer and Hughes",Phone,Medium,239,1875,0.127466667,No,21,Yes
Jennifer Kim,"USCGC Brown,FPO AE 32160",Pace-Nelson,Medical,High,1632,14390,0.113412092,No,28,No
James Nguyen,"621 Heath Place,North John, AZ 97103",Smith LLC,Medical,High,2252,14390,0.156497568,No,24,Yes
Desiree Ponce,"652 Lisa Trafficway,Laurenville, NC 87812",Porter Ltd,Other,Very low,37,399,0.09273183,No,25,No
Jordan Johnston,"1553 Sherry Forest Apt. 406,Thomasborough, FL 28722","Eaton, Maddox and Jennings",Phone,Medium,224,1875,0.119466667,No,27,No
Michelle Williams,"1973 Martin Stravenue Apt. 630,Thompsonburgh, RI 00686",,Medical,High,1982,14390,0.137734538,No,27,No
Brandon Aguilar,"757 Maurice Estates,East William, NV 34000",Mckee Ltd,Phone,Medium,226,,0.120533333,No,26,No
Angela Davis,"4105 Houston Pass Apt. 327,Philiphaven, VA 72107",Wall-Jackson,,Very low,63,399,0.157894737,No,20,Yes
Leah Jones,"890 Porter Bypass Apt. 895,Thompsonshire, ME 60082","Kelly, Green and Campbell",Phone,Medium,238,1875,0.126933333,No,23,Yes
Paula Harris,"504 Caroline Camp Suite 539,Port Charlotteton, CA 93241",King LLC,Other,Very low,67,399,0.167919799,No,20,Yes
Jeremiah Willis,"800 Dean Unions Apt. 437,Nunezchester, PA 72743",Callahan Inc,Medical,High,2193,14390,0.152397498,No,26,No
Kevin Kim,"5090 Jacqueline Land Suite 039,Raybury, SD 73114",,Medical,High,1717,14390,0.119318972,No,25,No
Michael Rose,"1947 Sanchez Summit,Adamfort, OH 33706",Rhodes-Allen,Medical,High,2159,14390,0.150034746,No,18,Yes
Sherri Aguilar,"51054 Jasmine Gateway Apt. 170,New Deborahmouth, LA 38289",Richards-Ray,,High,1729,14390,0.120152884,No,26,No
Larry Hernandez,"84060 Lowe Lake,South Kurt, VT 87319",Johnson-Sanchez,Medical,High,1946,14390,,No,25,No
Taylor Martin,"5361 Suzanne Inlet Suite 926,Lake Kevin, NV 67583","Thompson, Cline and Petersen",Travel,Low,657,4794,0.137046308,No,26,No
Melissa Moreno,"1682 Malone Wells,New Michael, DC 09281","Pittman, Jones and Boyd",Medical,High,1961,14390,0.136275191,No,24,Yes
Douglas Walker,"23954 Melissa Stravenue Apt. 747,Normanborough, NV 96299",Wheeler Inc,Phone,Medium,207,1875,0.1104,No,20,Yes
Brenda Mitchell,"968 Pena Road Apt. 826,Danielstad, GA 51762",Moran Group,Medical,High,1527,14390,0.106115358,No,27,No
John Booker,"USNV Miller,FPO AA 32149",Burke-Craig,Medical,High,1869,14390,0.129881862,No,19,Yes
